time,grid_size,block_size,threads_used,solutions,max_depth
0.00600004,9,3,1,1,3
20.408,16,4,1,80,3
0.00600004,9,3,2,1,3
27.897,16,4,2,80,3
0.00900006,9,3,4,1,3
24.622,16,4,4,80,3
0.0109999,9,3,6,1,3
22.774,16,4,6,80,3
0.017,9,3,8,1,3
24.719,16,4,8,80,3
0.00999999,9,3,10,1,3
12.245,16,4,10,80,3
0.0109999,9,3,12,1,3
18.644,16,4,12,80,3
0.00800014,9,3,14,1,3
11.663,16,4,14,80,3
0.00999999,9,3,16,1,3
11.455,16,4,16,80,3
0.0110002,9,3,18,1,3
9.254,16,4,18,80,3
0.0140002,9,3,20,1,3
9.031,16,4,20,80,3
0.0139999,9,3,22,1,3
14.339,16,4,22,80,3
0.0120001,9,3,24,1,3
13.252,16,4,24,80,3
0.0170002,9,3,26,1,3
15.777,16,4,26,80,3
0.0239999,9,3,28,1,3
11.766,16,4,28,80,3
0.0120001,9,3,30,1,3
16.592,16,4,30,80,3
0.013,9,3,32,1,3
14.575,16,4,32,80,3
0.016,9,3,34,1,3
11.527,16,4,34,80,3
0.0119998,9,3,36,1,3
11.195,16,4,36,80,3
0.00699997,9,3,38,1,3
12.375,16,4,38,80,3
0.0079999,9,3,40,1,3
14.536,16,4,40,80,3
0.00999999,9,3,42,1,3
20.053,16,4,42,80,3
0.013,9,3,44,1,3
10.856,16,4,44,80,3
0.0119998,9,3,46,1,3
10.338,16,4,46,80,3
0.0110002,9,3,48,1,3
16.249,16,4,48,80,3
0.00800014,9,3,1,1,3
20.501,16,4,1,80,3
0.0120001,9,3,2,1,3
34.123,16,4,2,80,3
0.00999999,9,3,4,1,3
17.717,16,4,4,80,3
0.00900006,9,3,6,1,3
25.342,16,4,6,80,3
0.00699997,9,3,8,1,3
15.548,16,4,8,80,3
0.0109999,9,3,10,1,3
11.217,16,4,10,80,3
0.00999999,9,3,12,1,3
15.988,16,4,12,80,3
0.00699997,9,3,14,1,3
18.127,16,4,14,80,3
0.00999999,9,3,16,1,3
13.322,16,4,16,80,3
0.013,9,3,18,1,3
10.07,16,4,18,80,3
0.00900006,9,3,20,1,3
15.872,16,4,20,80,3
0.0109999,9,3,22,1,3
15.123,16,4,22,80,3
0.00900006,9,3,24,1,3
9.614,16,4,24,80,3
0.0120001,9,3,26,1,3
9.932,16,4,26,80,3
0.00800014,9,3,28,1,3
9.317,16,4,28,80,3
0.0119998,9,3,30,1,3
13.336,16,4,30,80,3
0.00999999,9,3,32,1,3
14.998,16,4,32,80,3
0.0079999,9,3,34,1,3
13.735,16,4,34,80,3
0.0079999,9,3,36,1,3
10.766,16,4,36,80,3
0.0120001,9,3,38,1,3
8.847,16,4,38,80,3
0.0139999,9,3,40,1,3
15.535,16,4,40,80,3
0.0170002,9,3,42,1,3
13.403,16,4,42,80,3
0.0109999,9,3,44,1,3
6.645,16,4,44,80,3
0.0139999,9,3,46,1,3
9.725,16,4,46,80,3
0.013,9,3,48,1,3
11.247,16,4,48,80,3
0.00500011,9,3,1,1,3
21.024,16,4,1,80,3
0.0100002,9,3,2,1,3
21.59,16,4,2,80,3
0.00999999,9,3,4,1,3
20.556,16,4,4,80,3
0.164,9,3,6,1,3
23.456,16,4,6,80,3
0.0380001,9,3,8,1,3
25.26,16,4,8,80,3
0.00999999,9,3,10,1,3
17.557,16,4,10,80,3
0.0109999,9,3,12,1,3
20.289,16,4,12,80,3
0.00999999,9,3,14,1,3
16.192,16,4,14,80,3
0.00999999,9,3,16,1,3
14.722,16,4,16,80,3
0.00900006,9,3,18,1,3
15.933,16,4,18,80,3
0.0139999,9,3,20,1,3
15.037,16,4,20,80,3
0.0120001,9,3,22,1,3
9.732,16,4,22,80,3
0.00899982,9,3,24,1,3
21.184,16,4,24,80,3
0.0119998,9,3,26,1,3
14.839,16,4,26,80,3
0.013,9,3,28,1,3
16.022,16,4,28,80,3
0.013,9,3,30,1,3
9.073,16,4,30,80,3
0.013,9,3,32,1,3
11.392,16,4,32,80,3
0.013,9,3,34,1,3
12.611,16,4,34,80,3
0.0109999,9,3,36,1,3
14.263,16,4,36,80,3
0.0109999,9,3,38,1,3
10.375,16,4,38,80,3
0.0119998,9,3,40,1,3
12.225,16,4,40,80,3
0.0109999,9,3,42,1,3
15.611,16,4,42,80,3
0.0129998,9,3,44,1,3
10.368,16,4,44,80,3
0.013,9,3,46,1,3
11.289,16,4,46,80,3
0.013,9,3,48,1,3
8.714,16,4,48,80,3
0.00699997,9,3,1,1,3
20.571,16,4,1,80,3
0.00800014,9,3,2,1,3
31.48,16,4,2,80,3
0.0079999,9,3,4,1,3
19.606,16,4,4,80,3
0.0109999,9,3,6,1,3
26.109,16,4,6,80,3
0.00600004,9,3,8,1,3
21.18,16,4,8,80,3
0.0110002,9,3,10,1,3
12.888,16,4,10,80,3
0.0109999,9,3,12,1,3
14.549,16,4,12,80,3
0.0110002,9,3,14,1,3
12.099,16,4,14,80,3
0.00900006,9,3,16,1,3
17.083,16,4,16,80,3
0.00999999,9,3,18,1,3
8.622,16,4,18,80,3
0.0109999,9,3,20,1,3
10.26,16,4,20,80,3
0.0110002,9,3,22,1,3
15.068,16,4,22,80,3
0.0139999,9,3,24,1,3
15.516,16,4,24,80,3
0.00900006,9,3,26,1,3
9.658,16,4,26,80,3
0.0109999,9,3,28,1,3
11.061,16,4,28,80,3
0.00900006,9,3,30,1,3
11.994,16,4,30,80,3
0.0109999,9,3,32,1,3
8.553,16,4,32,80,3
0.013,9,3,34,1,3
7.581,16,4,34,80,3
0.013,9,3,36,1,3
8.525,16,4,36,80,3
0.0120001,9,3,38,1,3
10.075,16,4,38,80,3
0.0120001,9,3,40,1,3
14.578,16,4,40,80,3
0.013,9,3,42,1,3
12.383,16,4,42,80,3
0.0120001,9,3,44,1,3
12.312,16,4,44,80,3
0.0139999,9,3,46,1,3
10.498,16,4,46,80,3
0.00899982,9,3,48,1,3
9.716,16,4,48,80,3
0.0079999,9,3,1,1,3
20.478,16,4,1,80,3
0.00900006,9,3,2,1,3
30.568,16,4,2,80,3
0.00999999,9,3,4,1,3
25.673,16,4,4,80,3
0.013,9,3,6,1,3
22.39,16,4,6,80,3
0.00800014,9,3,8,1,3
23.005,16,4,8,80,3
0.00800014,9,3,10,1,3
18.424,16,4,10,80,3
0.00899982,9,3,12,1,3
13.061,16,4,12,80,3
0.013,9,3,14,1,3
11.01,16,4,14,80,3
0.0109999,9,3,16,1,3
13.403,16,4,16,80,3
0.00900006,9,3,18,1,3
7.507,16,4,18,80,3
0.00999999,9,3,20,1,3
15.301,16,4,20,80,3
0.00800014,9,3,22,1,3
10.164,16,4,22,80,3
0.0120001,9,3,24,1,3
15.633,16,4,24,80,3
0.00800014,9,3,26,1,3
10.776,16,4,26,80,3
0.0120001,9,3,28,1,3
19.243,16,4,28,80,3
0.0109999,9,3,30,1,3
14.21,16,4,30,80,3
0.00900006,9,3,32,1,3
7.332,16,4,32,80,3
0.0119998,9,3,34,1,3
15.311,16,4,34,80,3
0.0079999,9,3,36,1,3
13.714,16,4,36,80,3
0.00800014,9,3,38,1,3
12.112,16,4,38,80,3
0.0140002,9,3,40,1,3
13.962,16,4,40,80,3
0.0079999,9,3,42,1,3
12.148,16,4,42,80,3
0.013,9,3,44,1,3
9.898,16,4,44,80,3
0.0139999,9,3,46,1,3
13.433,16,4,46,80,3
0.00999999,9,3,48,1,3
7.993,16,4,48,80,3
0.00699997,9,3,1,1,3
20.981,16,4,1,80,3
0.00600004,9,3,2,1,3
32.635,16,4,2,80,3
0.0109999,9,3,4,1,3
21.683,16,4,4,80,3
0.00699997,9,3,6,1,3
23.471,16,4,6,80,3
0.00699997,9,3,8,1,3
22.239,16,4,8,80,3
0.0109999,9,3,10,1,3
13.159,16,4,10,80,3
0.0109999,9,3,12,1,3
12.738,16,4,12,80,3
0.0120001,9,3,14,1,3
14.897,16,4,14,80,3
0.0079999,9,3,16,1,3
10.98,16,4,16,80,3
0.013,9,3,18,1,3
10.962,16,4,18,80,3
0.0119998,9,3,20,1,3
15.569,16,4,20,80,3
0.0109999,9,3,22,1,3
15.879,16,4,22,80,3
0.013,9,3,24,1,3
8.982,16,4,24,80,3
0.0120001,9,3,26,1,3
14.55,16,4,26,80,3
0.00900006,9,3,28,1,3
16.763,16,4,28,80,3
0.0120001,9,3,30,1,3
11.407,16,4,30,80,3
0.0109999,9,3,32,1,3
16.071,16,4,32,80,3
0.013,9,3,34,1,3
15.314,16,4,34,80,3
0.0120001,9,3,36,1,3
12.397,16,4,36,80,3
0.00999999,9,3,38,1,3
12.68,16,4,38,80,3
0.0140002,9,3,40,1,3
9.643,16,4,40,80,3
0.0120001,9,3,42,1,3
14.892,16,4,42,80,3
0.0140002,9,3,44,1,3
15.854,16,4,44,80,3
0.0139999,9,3,46,1,3
10.006,16,4,46,80,3
0.00999999,9,3,48,1,3
12.927,16,4,48,80,3
0.00700021,9,3,1,1,3
20.748,16,4,1,80,3
0.00899982,9,3,2,1,3
32.297,16,4,2,80,3
