time,grid_size,block_size,threads_used,solutions,max_depth
0.0109999,9,3,1,1,3
24.828,16,4,1,80,3
0.0120001,9,3,2,1,3
32.477,16,4,2,80,3
0.0119998,9,3,4,1,3
21.231,16,4,4,80,3
0.0119998,9,3,6,1,3
23.235,16,4,6,80,3
0.016,9,3,8,1,3
27.964,16,4,8,80,3
0.0150001,9,3,10,1,3
23.311,16,4,10,80,3
0.0210001,9,3,12,1,3
17.901,16,4,12,80,3
0.0109999,9,3,1,1,3
24.81,16,4,1,80,3
0.013,9,3,2,1,3
30.811,16,4,2,80,3
0.00999999,9,3,4,1,3
24.854,16,4,4,80,3
0.0119998,9,3,6,1,3
23.105,16,4,6,80,3
0.0120001,9,3,8,1,3
22.329,16,4,8,80,3
0.0120001,9,3,10,1,3
23.734,16,4,10,80,3
0.013,9,3,12,1,3
16.547,16,4,12,80,3
0.00900006,9,3,1,1,3
24.694,16,4,1,80,3
0.0110002,9,3,2,1,3
24.94,16,4,2,80,3
0.00900006,9,3,4,1,3
24.642,16,4,4,80,3
0.0119998,9,3,6,1,3
22.394,16,4,6,80,3
0.00900006,9,3,8,1,3
24.637,16,4,8,80,3
0.0150001,9,3,10,1,3
19.349,16,4,10,80,3
0.016,9,3,12,1,3
17.523,16,4,12,80,3
