time,grid_size,block_size,threads_used,solutions,max_depth
0.0210001,9,3,1,1,3
87.483,16,4,1,80,3
0.0190001,9,3,2,1,3
131.53,16,4,2,80,3
0.0179999,9,3,4,1,3
82.261,16,4,4,80,3
0.0150001,9,3,6,1,3
124.397,16,4,6,80,3
0.02,9,3,8,1,3
87.366,16,4,8,80,3
0.0159998,9,3,10,1,3
123.976,16,4,10,80,3
0.0180001,9,3,12,1,3
142.923,16,4,12,80,3
0.016,9,3,1,1,3
87.22,16,4,1,80,3
0.0179999,9,3,2,1,3
132.287,16,4,2,80,3
0.02,9,3,4,1,3
98.045,16,4,4,80,3
0.0149999,9,3,6,1,3
115.495,16,4,6,80,3
0.0150001,9,3,8,1,3
139.609,16,4,8,80,3
0.0209999,9,3,10,1,3
139.629,16,4,10,80,3
0.0189998,9,3,12,1,3
138.992,16,4,12,80,3
0.0210001,9,3,1,1,3
104.589,16,4,1,80,3
0.0209999,9,3,2,1,3
144.937,16,4,2,80,3
0.0420001,9,3,4,1,3
145.285,16,4,4,80,3
0.026,9,3,6,1,3
152.195,16,4,6,80,3
0.0239999,9,3,8,1,3
142.594,16,4,8,80,3
0.0239999,9,3,10,1,3
147.935,16,4,10,80,3
0.079,9,3,12,1,3
153.06,16,4,12,80,3
0.0190001,9,3,1,1,3
102.637,16,4,1,80,3
0.0149999,9,3,2,1,3
137.702,16,4,2,80,3
0.0179999,9,3,4,1,3
147.834,16,4,4,80,3
0.0190001,9,3,6,1,3
101.248,16,4,6,80,3
0.0180001,9,3,8,1,3
141.773,16,4,8,80,3
0.0159998,9,3,10,1,3
104.485,16,4,10,80,3
0.023,9,3,12,1,3
121.263,16,4,12,80,3
0.016,9,3,1,1,5
87.634,16,4,1,80,5
0.0209999,9,3,2,1,5
131.107,16,4,2,80,5
0.0180001,9,3,4,1,5
99.284,16,4,4,80,5
0.0180001,9,3,6,1,5
107.663,16,4,6,80,5
0.0210001,9,3,8,1,5
137.967,16,4,8,80,5
0.0209999,9,3,10,1,5
125.128,16,4,10,80,5
0.0180001,9,3,12,1,5
116.13,16,4,12,80,5
0.0139999,9,3,1,1,7
77.806,16,4,1,80,7
0.016,9,3,2,1,7
138.312,16,4,2,80,7
0.013,9,3,4,1,7
121.957,16,4,4,80,7
0.0190001,9,3,6,1,7
133.356,16,4,6,80,7
0.017,9,3,8,1,7
136.93,16,4,8,80,7
0.0209999,9,3,10,1,7
89.031,16,4,10,80,7
0.0190001,9,3,12,1,7
